	gold	dev_gr99_k10	dev_gr100_k10	dev_gr200_k10
0	4	1	1	10
4	2	4	10	10
6	1	8	8	10
7	1	4	6	3
8	3	4	4	10
11	1	1	4	2
12	4	10	10	10
16	1	6	10	10
17	3	2	2	10
20	4	3	4	10
24	9	6	10	9
33	4	4	8	10
37	1	1	2	6
38	2	1	1	1
40	1	1	1	2
41	1	1	1	4
42	1	1	10	10
43	2	2	6	1
45	1	2	2	4
46	2	1	1	10
48	2	1	1	3
50	1	1	1	1
51	1	1	1	10
52	1	6	8	4
53	2	3	3	10
55	2	1	1	2
57	1	1	6	5
58	1	1	1	10
59	3	1	1	1
62	2	3	3	1
64	3	1	2	10
67	2	1	1	1
69	2	3	9	10
71	1	2	4	6
72	5	1	10	10
77	4	3	4	10
81	3	2	2	3
84	2	1	1	10
86	1	2	5	10
87	3	1	1	10
90	1	1	10	10
91	3	1	1	6
94	1	3	2	10
95	3	1	2	2
98	1	1	1	1
99	1	1	2	3
100	1	1	1	4
101	3	2	2	1
104	1	1	1	2
105	2	1	2	2
107	3	1	4	10
110	2	1	1	10
112	2	1	1	1
114	1	6	6	4
115	2	1	1	2
117	1	1	6	4
118	2	2	2	10
120	3	1	1	2
123	1	2	2	10
124	3	1	2	3
127	1	1	1	3
128	2	6	10	10
130	1	6	10	4
131	2	1	2	3
133	1	1	1	1
134	1	1	1	1
135	2	3	3	4
137	4	1	2	3
141	2	1	2	1
143	2	1	1	1
145	1	1	1	3
146	1	1	1	3
147	1	4	5	10
148	1	1	2	1
149	2	10	10	10
151	2	4	10	10
153	2	3	3	1
155	2	1	2	1
157	2	1	2	1
159	2	1	1	10
161	2	1	1	4
163	3	4	10	10
166	1	2	3	10
167	3	1	2	3
170	4	1	1	10
174	2	1	1	3
176	1	1	1	1
177	3	3	3	7
180	1	2	3	3
181	2	2	2	2
183	3	3	3	7
186	3	1	2	2
189	1	2	3	3
190	1	2	10	4
191	2	1	1	1
193	3	1	1	2
196	2	1	1	1
198	1	1	1	2
199	3	10	10	10
202	2	2	2	7
204	1	1	1	1
205	3	2	2	10
208	1	1	1	1
209	1	3	2	10
210	3	1	1	4
213	1	1	1	3
214	6	2	2	10
220	3	1	2	10
223	4	6	1	10
227	6	1	10	10
233	5	3	3	3
238	2	1	1	3
240	1	1	1	1
241	1	4	10	3
242	3	4	1	9
245	4	3	3	4
249	1	7	10	10
250	4	2	2	6
254	2	1	2	6
256	5	3	6	10
261	6	1	2	10
267	2	1	2	1
269	5	2	2	10
274	1	1	3	5
275	2	1	1	10
277	1	1	1	1
278	1	4	7	10
279	1	1	2	3
280	2	1	2	3
282	1	1	3	4
283	1	1	6	10
284	1	1	3	1
285	4	10	10	10
289	4	1	1	10
293	2	4	1	10
295	2	1	3	2
297	2	3	3	10
299	7	3	10	10
306	2	1	1	10
308	3	2	2	1
311	2	1	1	4
313	2	2	10	10
315	3	3	4	10
318	1	1	2	1
319	2	10	10	10
321	2	2	2	3
323	2	8	3	10
325	2	1	2	2
327	1	1	1	10
328	1	1	2	5
329	4	4	4	10
333	2	2	4	10
335	1	1	1	1
336	2	1	2	2
338	2	2	2	6
340	4	1	2	10
344	1	1	1	1
345	3	1	1	7
348	2	2	10	10
350	1	8	9	3
351	1	1	1	3
352	4	1	2	1
356	1	1	2	1
357	4	1	1	10
361	3	1	1	10
364	2	2	1	10
366	2	2	2	2
368	3	3	3	10
371	2	2	3	10
373	3	10	2	10
376	3	1	1	2
379	1	1	1	2
380	3	1	4	1
383	3	1	1	3
386	1	4	4	1
387	1	1	1	1
388	2	1	2	1
390	4	3	1	10
394	2	6	6	10
396	3	10	10	10
399	3	10	10	10
402	3	10	10	10
405	1	0	0	10
406	2	2	3	10
408	4	1	1	2
412	2	7	10	10
414	2	2	3	10
416	3	6	8	10
419	5	10	10	10
424	1	1	1	1
425	4	1	10	10
429	7	3	10	10
436	4	1	4	10
440	1	1	1	1
441	1	3	10	10
442	4	10	10	10
446	2	1	3	1
448	4	1	2	3
452	1	6	7	4
453	1	6	6	10
454	3	1	1	6
457	3	2	2	10
460	3	1	1	8
463	2	1	4	10
465	1	1	2	10
466	3	2	4	8
469	2	1	2	1
471	1	1	3	2
472	2	1	3	10
474	2	1	1	1
476	3	10	4	10
479	4	10	10	10
483	2	1	1	4
485	2	4	10	10
487	1	1	3	10
488	2	1	1	1
490	5	4	8	10
495	2	10	10	10
497	1	1	6	10
498	2	1	1	4
500	1	1	1	2
501	1	1	3	1
502	1	1	1	10
503	1	2	3	3
504	1	4	3	7
505	1	1	1	10
506	2	1	4	10
508	2	4	10	10
510	1	1	1	1
511	1	1	1	1
512	4	1	1	6
516	4	1	1	6
520	4	3	10	10
524	9	6	10	10
533	2	1	2	1
535	3	6	4	1
538	7	3	3	10
545	2	6	6	1
547	2	2	2	1
549	2	2	2	10
551	2	8	6	4
553	5	2	1	10
558	2	1	2	9
560	1	1	1	3
561	2	10	10	10
563	3	3	4	10
566	3	2	2	2
569	5	10	10	10
574	2	1	1	10
576	2	2	6	10
578	1	3	4	10
579	4	1	2	10
583	3	1	1	10
586	1	3	6	4
587	2	4	6	3
589	3	1	1	10
592	3	8	1	10
595	3	6	10	10
598	1	1	1	1
599	1	1	3	3
600	1	1	4	3
601	2	3	10	10
603	1	2	1	2
604	1	2	2	1
605	1	1	1	1
606	1	1	1	1
607	5	2	2	2
612	1	1	3	7
613	2	2	4	4
615	2	3	6	10
617	1	2	3	4
618	1	1	1	1
619	2	1	1	3
621	2	2	3	10
623	2	1	1	1
625	2	1	2	1
627	3	1	1	8
630	2	1	1	5
632	1	2	4	1
633	2	1	1	3
635	1	2	2	10
636	5	2	2	2
641	1	2	3	3
642	3	2	2	5
645	2	3	3	3
647	2	1	1	4
649	2	4	10	10
651	1	3	6	4
652	1	1	1	1
653	2	1	1	3
655	1	1	1	1
656	1	2	2	3
657	4	1	1	10
661	2	1	1	10
663	1	9	10	10
664	3	1	3	9
667	2	1	3	7
669	1	1	6	8
670	1	2	6	1
671	1	1	2	2
672	1	7	10	10
673	2	1	3	3
675	1	0	0	1
676	1	1	1	1
677	3	1	2	6
680	2	10	8	10
682	1	1	3	3
683	1	1	1	2
684	1	1	1	1
685	4	1	2	1
689	2	1	1	1
691	5	1	1	3
696	3	1	1	10
699	5	2	3	10
704	1	1	1	1
705	1	1	1	1
706	1	1	2	1
707	4	6	6	10
711	3	4	1	10
714	2	3	3	10
716	1	1	2	1
717	2	1	1	10
719	1	1	9	1
720	2	1	1	1
722	3	4	4	10
725	1	10	10	1
726	3	2	2	3
729	2	6	10	4
731	2	2	1	1
733	2	2	4	1
735	1	1	4	10
736	6	4	3	6
742	1	1	1	3
743	1	1	2	1
744	1	1	1	1
745	2	3	4	10
747	1	1	1	1
748	2	2	2	2
750	2	5	5	10
752	4	3	3	10
756	1	3	3	1
757	2	1	2	1
759	2	2	7	4
761	2	1	1	1
763	2	2	2	4
765	1	2	4	1
766	1	1	3	4
767	3	1	2	1
770	2	1	1	2
772	2	3	3	9
774	1	4	10	5
775	2	6	6	10
777	1	3	10	10
778	2	10	9	4
780	2	2	3	6
782	4	3	10	10
786	3	6	5	10
789	2	1	1	1
791	1	1	1	1
792	4	1	1	1
796	1	2	1	1
797	3	3	6	10
800	1	5	10	10
801	3	1	2	3
804	1	3	4	6
805	6	1	1	1
811	1	2	2	2
812	1	1	1	2
813	1	1	3	1
814	3	1	6	10
817	5	3	3	10
822	2	1	2	1
824	5	10	10	10
829	2	1	4	10
831	4	3	4	10
835	1	1	1	10
836	3	1	1	4
839	2	1	4	2
841	1	1	1	1
842	3	1	3	10
845	5	1	1	7
850	1	1	1	10
851	2	4	4	5
853	1	2	3	3
854	2	2	10	1
856	2	1	2	1
858	2	3	3	1
860	2	1	2	1
862	5	1	1	10
867	1	1	1	2
868	3	1	1	1
871	3	1	2	10
874	2	3	3	10
876	3	10	7	3
879	1	3	6	4
880	1	1	1	1
881	1	1	1	1
882	3	3	1	3
885	1	1	1	1
886	2	3	3	4
888	1	1	1	1
889	3	1	1	2
892	2	1	4	1
894	2	1	1	1
896	2	1	6	8
898	1	1	2	1
899	2	1	1	1
901	4	8	10	10
905	1	1	2	1
906	3	1	2	1
909	1	1	1	1
910	2	2	3	7
912	3	10	10	10
915	1	4	4	10
916	3	2	2	1
919	5	1	1	1
924	4	1	5	10
928	2	2	3	6
930	2	4	4	4
932	1	1	1	3
933	1	1	1	1
934	2	3	3	1
936	1	1	3	3
937	2	6	6	10
939	1	1	3	4
940	7	1	10	10
947	4	2	3	10
951	2	1	3	10
953	4	1	1	10
957	1	1	1	1
958	4	6	5	10
962	1	6	10	4
963	1	1	1	10
964	2	2	1	10
966	2	1	1	10
968	7	6	3	10
975	5	10	4	10
980	1	6	10	10
981	1	1	1	1
982	1	1	3	3
983	1	1	1	4
984	1	1	1	1
985	7	1	3	10
992	2	1	3	1
994	3	1	1	10
997	3	4	5	10
1000	3	2	4	7
1003	1	1	1	1
1004	1	1	1	8
1005	1	9	1	4
1006	2	6	10	10
1008	4	2	2	3
1012	2	1	1	10
1014	4	1	1	10
1018	4	2	1	10
1022	4	4	1	10
1026	4	1	1	9
1030	1	2	3	9
1031	4	1	6	10
1035	2	1	2	10
1037	2	1	1	1
1039	2	2	4	1
1041	3	7	10	6
1044	5	1	2	10
1049	1	5	5	6
1050	1	1	1	1
1051	3	1	4	10
1054	3	2	2	1
1057	1	3	3	1
1058	1	1	1	10
1059	2	1	1	6
1061	2	10	10	6
1063	4	2	2	10
1067	3	2	10	10
1070	1	3	3	1
1071	5	2	6	3
1076	2	1	1	10
1078	1	2	10	10
1079	1	1	1	1
1080	4	1	1	7
1084	1	1	1	1
1085	4	1	1	9
1089	3	2	2	10
1092	2	10	10	10
1094	1	3	6	6
1095	4	10	10	10
1099	1	2	3	10
1100	4	10	3	10
1104	4	1	1	10
1108	5	1	1	10
1113	3	1	1	1
1116	4	1	7	6
1120	1	1	2	10
1121	2	1	2	1
1123	2	6	10	1
1125	2	1	3	10
1127	2	1	3	6
1129	2	1	1	1
1131	4	1	2	6
1135	6	4	4	2
1141	2	1	1	10
1143	1	1	1	1
1144	1	1	2	2
1145	1	1	1	1
1146	2	1	1	10
1148	1	4	6	4
1149	3	10	10	10
1152	1	2	7	8
1153	3	1	1	1
1156	1	1	1	1
1157	3	2	2	10
1160	2	1	1	1
1162	1	6	6	2
1163	3	1	3	10
1166	1	7	3	6
1167	2	1	1	1
1169	4	2	2	10
1173	1	1	1	1
1174	1	1	2	1
1175	3	1	1	2
1178	1	1	2	10
1179	1	2	3	10
1180	2	3	4	2
1182	1	4	6	3
1183	1	1	1	1
1184	3	1	4	3
1187	2	1	1	10
1189	1	1	1	1
1190	1	1	2	1
1191	3	6	10	10
1194	2	9	3	10
1196	3	1	1	10
1199	3	1	1	1
1202	2	1	1	10
1204	1	3	4	10
1205	1	2	2	1
1206	1	4	10	10
1207	1	1	2	1
1208	2	1	1	3
1210	3	1	10	10
1213	1	1	3	4
1214	2	10	10	10
1216	2	3	6	2
1218	4	2	8	10
1222	1	1	2	1
1223	2	1	1	3
1225	1	3	6	4
1226	6	1	1	1
1232	2	2	2	10
1234	2	1	1	10
1236	1	2	1	1
1237	3	1	1	7
1240	1	1	2	1
1241	4	2	2	10
1245	3	1	8	9
1248	2	1	1	2
1250	3	10	10	9
1253	2	3	6	10
1255	2	2	3	10
1257	3	1	9	10
1260	3	1	1	10
1263	3	1	3	3
1266	2	6	10	10
1268	1	10	10	10
1269	3	3	3	3
1272	4	10	10	10
1276	3	1	2	6
1279	2	2	3	3
1281	3	1	2	10
1284	3	3	3	10
1287	2	4	10	10
1289	5	3	3	3
1294	2	1	1	2
1296	2	3	2	10
1298	2	3	4	1
1300	5	1	3	10
1305	2	1	3	9
1307	1	1	3	3
1308	2	2	4	10
1310	3	1	3	3
1313	2	1	1	10
1315	2	2	10	10
1317	3	2	3	10
1320	2	7	7	10
1322	4	10	9	10
1326	2	1	1	10
1328	2	2	2	3
1330	2	4	4	10
1332	1	6	3	1
1333	3	1	4	1
1336	1	3	2	10
1337	5	4	6	10
1342	2	1	1	1
1344	3	2	1	10
1347	5	4	10	10
1352	1	2	2	10
1353	3	7	7	10
1356	1	2	2	10
1357	2	10	10	10
1359	2	10	10	10
1361	2	2	6	9
1363	1	1	2	1
1364	1	1	1	10
1365	1	1	1	10
1366	4	4	2	3
1370	2	1	3	3
1372	3	2	4	10
1375	2	1	1	3
1377	2	1	1	10
1379	2	2	1	1
1381	3	2	5	10
1384	4	2	2	10
1388	5	3	3	10
1393	2	2	7	10
1395	3	1	2	1
1398	1	1	1	1
1399	2	1	1	5
1401	1	8	7	1
1402	3	1	1	7
1405	1	1	2	1
1406	3	1	1	3
1409	2	10	10	10
1411	4	7	9	10
1415	5	1	1	4
1420	2	2	6	10
1422	2	1	10	10
1424	4	1	4	10
1428	3	5	10	10
1431	1	1	1	6
1432	3	1	3	10
1435	1	1	1	4
1436	3	1	1	4
1439	7	10	7	10
1446	1	1	6	1
1447	4	1	6	10
1451	2	1	1	10
1453	4	5	3	10
1457	3	10	10	6
1460	2	10	1	10
1462	2	4	2	3
1464	1	1	1	10
1465	2	1	1	1
1467	5	1	1	10
1472	4	2	4	10
1476	2	1	2	2
1478	2	1	2	1
1480	3	2	3	1
1483	3	2	4	6
1486	3	1	3	2
1489	5	1	2	2
1494	2	1	1	2
1496	5	10	3	10
1501	7	2	3	10
1508	2	10	10	10
1510	3	10	10	10
1513	1	1	1	3
1514	3	2	2	10
1517	5	1	1	2
1522	1	2	2	1
1523	3	1	2	1
1526	1	1	4	5
1527	2	2	2	7
1529	4	2	2	10
1533	1	2	4	4
1534	3	10	10	10
1537	2	1	2	4
1539	2	1	2	10
1541	1	1	1	1
1542	3	10	5	10
1545	2	3	1	10
1547	2	2	2	10
1549	1	1	1	1
1550	3	10	10	10
1553	3	2	2	1
1556	2	1	2	1
1558	8	3	6	1
1566	2	1	1	1
1568	4	7	8	10
1572	2	2	8	6
1574	1	1	1	2
1575	3	1	1	6
1578	5	1	1	10
1583	7	3	4	3
1590	1	1	2	10
1591	3	3	5	10
1594	5	3	3	10
1599	3	6	6	10
1602	2	1	1	1
1604	3	1	1	10
1607	1	2	1	7
1608	2	2	6	3
1610	3	2	3	4
1613	3	2	4	10
1616	2	4	3	10
1618	1	9	10	3
1619	1	1	2	7
1620	7	10	10	10
1627	2	4	9	10
1629	8	4	7	10
1637	1	1	4	8
1638	2	4	2	10
1640	2	2	3	1
1642	4	1	2	3
1646	3	1	1	10
1649	5	1	1	10
1654	4	6	6	5
1658	4	6	6	10
1662	2	2	5	5
1664	4	1	3	2
1668	3	4	6	2
1671	1	1	1	1
1672	4	1	1	2
1676	5	1	2	6
1681	2	10	10	10
1683	2	6	10	10
1685	2	1	1	10
1687	1	1	1	1
1688	3	6	6	10
1691	3	4	3	1
1694	4	8	4	10
1698	4	2	1	10
1702	3	2	10	10
1705	3	1	1	1
1708	3	10	7	10
1711	1	1	1	10
1712	2	1	2	6
1714	4	1	1	7
1718	6	10	1	10
1724	3	2	4	10
1727	2	1	3	10
1729	1	1	1	2
1730	1	3	3	2
1731	6	1	1	10
1737	3	2	2	1
1740	10	3	4	10
1750	5	6	10	10
1755	1	1	1	6
1756	8	1	1	10
1764	5	1	10	10
1769	1	10	10	10
1770	1	1	9	8
1771	4	4	10	9
1775	3	8	8	10
1778	2	10	10	10
1780	3	1	10	10
1783	3	1	1	1
1786	1	2	2	4
1787	3	1	1	3
1790	4	7	10	10
1794	1	4	10	10
1795	1	1	10	10
1796	3	5	5	10
1799	2	2	3	10
1801	2	1	3	6
1803	3	4	6	10
1806	2	4	10	10
1808	3	1	2	10
1811	3	1	1	6
1814	2	1	2	10
1816	4	1	6	10
1820	2	9	7	10
1822	7	6	6	10
1829	1	6	6	10
1830	1	6	10	4
1831	1	1	1	1
1832	1	9	10	5
1833	5	1	1	10
1838	1	1	1	1
1839	4	1	1	10
1843	1	1	1	2
1844	1	0	0	1
1845	5	1	10	10
1850	2	10	10	9
1852	6	1	3	10
1858	1	3	4	9
1859	1	3	3	1
1860	3	3	4	10
1863	2	10	10	10
1865	1	1	1	10
1866	1	4	4	4
1867	2	4	10	10
1869	2	2	7	10
1871	4	2	3	10
1875	2	1	1	10
1877	3	1	2	4
1880	1	2	10	9
1881	4	10	10	10
1885	1	1	1	1
1886	2	1	1	3
1888	2	1	4	2
1890	3	4	10	3
1893	5	2	3	10
1898	3	3	10	10
1901	3	10	10	10
1904	2	2	2	10
1906	3	1	1	10
1909	3	1	3	10
1912	1	4	10	10
1913	1	1	2	1
1914	1	2	1	10
1915	1	1	1	1
1916	2	1	1	2
1918	1	7	10	9
1919	1	1	2	1
1920	1	1	2	3
1921	1	1	2	1
1922	1	1	1	1
1923	1	2	4	1
1924	2	1	2	2
1926	1	1	1	1
1927	1	1	2	1
1928	2	2	2	1
1930	1	1	1	1
1931	3	2	2	1
1934	1	2	4	9
1935	4	1	1	10
1939	2	2	10	6
1941	2	6	10	10
1943	2	1	1	10
1945	5	2	2	10
1950	1	1	1	9
1951	3	3	4	6
1954	1	1	1	1
1955	1	1	1	2
1956	3	1	1	1
1959	1	6	10	10
1960	1	6	10	9
1961	2	6	6	8
1963	2	6	1	10
1965	3	3	7	10
1968	3	3	3	7
1971	1	2	10	10
1972	4	6	6	10
1976	1	2	8	3
1977	2	3	10	2
1979	3	6	4	10
1982	2	3	3	6
1984	3	1	1	4
1987	8	2	7	10
1995	1	6	6	4
1996	3	1	4	10
1999	4	2	2	1
2003	1	0	0	10
2004	5	2	8	10
2009	1	10	10	4
2010	4	1	6	3
2014	1	1	1	1
2015	1	3	3	7
2016	9	1	4	10
2025	2	1	2	2
2027	1	2	2	3
2028	2	3	3	10
2030	3	1	4	1
2033	4	1	1	10
2037	1	1	3	9
2038	1	7	10	10
2039	1	3	4	6
2040	3	1	1	1
2043	1	2	3	2
2044	3	2	7	7
2047	1	4	5	10
2048	1	1	1	10
2049	1	10	10	10
2050	1	1	1	10
2051	2	3	3	3
2053	3	3	4	6
2056	4	6	6	10
2060	2	2	10	10
2062	2	2	8	10
2064	1	6	10	10
2065	3	3	10	10
2068	2	1	1	10
2070	1	1	2	1
2071	1	1	1	4
2072	1	4	8	10
2073	1	2	2	10
2074	1	1	10	7
2075	6	10	2	1
2081	4	4	1	2
2085	1	3	10	10
2086	5	2	7	10
2091	1	3	1	1
2092	1	2	2	10
2093	2	1	2	10
2095	4	4	10	10
2099	1	1	1	4
2100	2	1	1	3
2102	2	2	3	10
2104	1	1	3	3
2105	1	7	7	10
2106	4	4	4	8
2110	2	2	2	1
2112	2	3	3	10
2114	2	1	1	1
2116	1	10	10	10
2117	2	2	10	4
2119	2	1	3	1
2121	1	1	1	1
2122	2	3	10	10
2124	2	1	1	1
2126	1	1	1	1
2127	1	4	10	10
2128	2	3	3	5
2130	1	2	2	7
2131	2	1	1	1
2133	1	3	3	9
2134	1	0	0	0
2135	2	6	9	10
2137	1	1	3	3
2138	1	1	1	1
2139	3	1	1	1
2142	3	1	1	10
2145	2	6	10	10
2147	2	1	1	1
2149	1	1	1	1
2150	1	1	2	10
2151	1	2	2	10
2152	2	1	1	1
2154	1	1	1	6
2155	3	6	10	2
2158	2	3	5	6
2160	3	6	6	10
2163	2	5	5	10
2165	1	10	10	10
2166	2	3	3	1
2168	1	1	1	1
2169	1	1	1	10
2170	2	1	1	2
2172	3	1	1	6
2175	2	1	2	3
2177	3	2	2	1
2180	1	1	3	10
2181	2	10	10	10
2183	1	2	4	4
2184	3	1	1	10
2187	2	1	2	4
2189	1	1	1	1
2190	4	3	6	10
2194	3	3	10	10
2197	1	3	6	10
2198	2	10	10	10
2200	3	1	1	10
2203	1	1	1	1
2204	1	2	2	10
2205	2	2	2	9
2207	3	3	3	9
2210	1	1	3	1
2211	1	1	2	1
2212	5	8	6	10
2217	2	1	1	10
2219	1	10	10	10
2220	1	1	1	1
2221	5	1	1	1
2226	3	6	6	10
2229	2	1	1	1
2231	2	1	2	3
2233	1	1	1	3
2234	2	1	2	1
2236	3	3	5	7
2239	1	6	10	10
2240	1	3	3	2
2241	2	2	3	3
2243	3	9	6	9
2246	2	3	3	10
2248	4	1	2	7
2252	2	3	3	10
2254	3	3	3	10
2257	1	2	4	6
2258	2	2	3	3
2260	1	3	3	2
2261	3	6	8	10
2264	2	1	1	1
2266	2	1	2	10
2268	1	0	0	2
2269	2	7	10	10
2271	4	2	2	1
2275	2	6	10	9
2277	2	9	9	10
2279	3	1	6	10
2282	1	1	1	1
2283	3	1	1	1
2286	1	1	1	2
2287	4	2	2	6
2291	4	1	10	10
2295	3	1	1	2
2298	3	2	10	10
2301	1	1	1	3
2302	5	10	9	10
2307	3	2	2	3
2310	2	2	1	10
2312	1	2	2	1
2313	2	2	3	3
2315	1	10	2	10
2316	2	2	1	3
2318	1	1	6	1
2319	3	10	10	10
2322	2	1	10	10
2324	1	6	10	10
2325	4	1	4	10
2329	1	3	7	10
2330	3	2	1	1
2333	2	1	1	10
2335	2	1	1	3
2337	2	1	4	10
2339	1	1	1	6
2340	2	1	2	10
2342	1	0	0	3
2343	2	10	6	10
2345	2	3	4	10
2347	2	2	3	1
2349	2	2	3	10
2351	6	10	10	10
2357	3	2	4	3
2360	2	1	1	4
2362	4	1	1	10
2366	1	1	1	1
2367	1	2	3	3
2368	2	2	2	1
2370	1	1	1	1
2371	3	1	1	9
2374	3	1	3	8
2377	1	2	3	3
2378	2	1	1	1
2380	2	4	1	1
2382	1	1	1	1
2383	2	1	10	10
2385	2	1	1	4
2387	1	1	3	8
2388	4	1	1	10
2392	2	1	4	10
2394	3	1	1	10
2397	2	1	1	2
2399	1	2	2	10
2400	1	1	3	3
2401	3	2	4	10
2404	1	1	2	5
2405	1	1	1	9
2406	6	1	10	10
2412	1	1	1	3
2413	3	5	6	10
2416	2	10	10	10
2418	1	1	1	3
2419	1	2	4	2
2420	2	5	8	10
2422	3	5	5	10
2425	6	2	10	10
2431	1	1	3	3
2432	2	4	2	10
2434	1	2	3	1
2435	4	2	1	10
2439	4	7	2	9
2443	4	1	1	6
2447	1	1	2	8
2448	1	1	1	1
2449	2	2	4	6
2451	2	2	6	6
2453	3	1	1	1
2456	3	1	2	10
2459	3	2	3	9
2462	4	2	3	2
2466	1	1	1	10
2467	1	3	3	4
2468	1	4	4	10
2469	4	10	10	10
2473	4	4	10	10
2477	1	1	1	2
2478	5	1	10	10
2483	6	5	10	10
2489	4	1	1	10
2493	2	2	10	10
2495	6	2	6	4
2501	6	6	4	10
2507	4	9	10	10
2511	1	1	1	3
2512	2	1	2	4
2514	2	3	3	10
2516	2	6	2	7
2518	3	1	1	4
2521	3	3	4	10
2524	1	2	2	9
2525	4	6	6	10
2529	2	5	2	10
2531	2	1	10	10
2533	3	3	3	9
2536	4	1	1	10
2540	4	1	4	10
2544	1	1	6	1
2545	8	1	4	4
2553	1	1	1	6
2554	5	7	1	10
2559	6	1	1	10
2565	4	4	4	10
2569	1	10	10	10
2570	1	1	1	2
2571	1	1	4	10
2572	2	10	10	10
2574	1	1	3	3
2575	2	10	10	10
2577	3	2	4	10
2580	1	1	1	3
2581	3	2	4	4
2584	1	4	4	1
2585	1	1	1	1
2586	1	3	1	10
2587	1	1	2	3
2588	2	1	1	1
2590	2	10	10	10
2592	1	1	3	4
2593	1	1	2	1
2594	2	1	1	10
2596	1	1	1	1
2597	4	1	4	6
2601	4	1	4	6
2605	1	3	3	3
2606	4	1	1	1
2610	2	4	10	10
2612	1	4	10	10
2613	1	1	3	4
2614	3	3	6	10
2617	1	1	1	1
2618	1	2	3	3
2619	1	3	10	10
2620	2	2	2	3
2622	1	10	2	10
2623	3	1	3	7
2626	4	1	1	10
2630	2	2	4	7
2632	5	2	10	10
2637	1	1	1	10
2638	2	9	9	10
2640	1	4	4	6
2641	1	1	2	1
2642	2	4	1	10
2644	1	3	3	1
2645	5	1	10	10
2650	1	4	5	4
2651	2	10	7	10
2653	4	1	2	10
2657	1	1	1	1
2658	2	1	1	8
2660	3	2	7	10
2663	1	1	3	10
2664	2	2	2	10
2666	2	2	1	7
2668	2	2	4	10
2670	1	1	3	4
2671	4	1	1	10
2675	2	2	6	10
2677	1	10	10	10
2678	1	4	10	4
2679	2	1	3	1
2681	3	1	3	10
2684	1	4	6	10
