	gold	dev_gr99_k10	dev_gr100_k10	dev_gr200_k10
2685	1	1	1	10
2686	1	1	7	9
2687	3	2	3	6
2690	3	3	10	10
2693	4	2	3	10
2697	3	4	2	10
2700	2	1	1	7
2702	1	1	1	5
2703	1	3	2	8
2704	3	10	10	10
2707	4	3	2	10
2711	2	4	10	10
2713	1	1	1	10
2714	1	1	4	10
2715	2	4	2	10
2717	4	10	10	10
2721	1	1	3	3
2722	1	1	1	10
2723	5	2	2	10
2728	2	1	1	1
2730	3	1	3	10
2733	1	1	6	4
2734	1	1	10	1
2735	1	1	1	1
2736	1	1	1	1
2737	2	1	2	1
2739	1	1	4	10
2740	2	2	2	10
2742	1	10	10	10
2743	1	4	5	10
2744	4	2	2	10
2748	1	3	5	10
2749	1	8	10	10
2750	1	1	1	3
2751	1	1	1	4
2752	4	1	1	10
2756	1	7	7	3
2757	1	1	1	10
2758	3	7	8	3
2761	3	1	4	1
2764	2	1	2	9
2766	1	1	2	1
2767	1	1	1	1
2768	5	2	1	1
2773	2	6	6	1
2775	2	1	2	10
2777	2	2	6	10
2779	2	1	3	6
2781	1	1	1	1
2782	1	3	6	10
2783	7	1	3	3
2790	2	1	5	1
2792	6	10	1	10
2798	1	1	1	3
2799	2	1	6	1
2801	2	4	2	10
2803	1	2	3	5
2804	1	0	0	10
2805	2	1	1	10
2807	1	1	1	5
2808	2	10	10	10
2810	4	1	4	8
2814	4	10	10	10
2818	1	1	1	2
2819	3	2	3	10
2822	1	1	1	1
2823	6	1	2	10
2829	2	1	4	10
2831	1	2	1	10
2832	4	2	7	1
2836	1	1	1	10
2837	1	1	1	3
2838	1	3	4	6
2839	3	1	1	2
2842	1	4	4	1
2843	1	1	1	1
2844	3	10	10	10
2847	1	1	1	3
2848	1	4	2	10
2849	1	10	10	10
2850	2	3	3	10
2852	1	1	1	2
2853	2	1	1	10
2855	1	1	1	1
2856	3	3	3	10
2859	2	5	8	8
2861	1	0	0	1
2862	1	1	3	10
2863	2	2	2	10
2865	1	1	1	1
2866	1	1	1	1
2867	4	1	1	10
2871	4	5	10	10
2875	3	3	3	10
2878	1	1	2	1
2879	2	1	1	5
2881	4	8	10	10
2885	3	4	6	10
2888	4	2	10	10
2892	3	10	10	10
2895	4	2	2	1
2899	4	3	3	9
2903	2	6	6	10
2905	1	2	10	10
2906	4	1	1	10
2910	1	1	1	1
2911	2	1	1	9
2913	2	3	3	9
2915	2	1	1	10
2917	1	1	1	10
2918	1	1	5	4
2919	1	4	10	9
2920	1	3	6	10
2921	1	1	3	3
2922	3	2	3	10
2925	3	3	3	9
2928	2	1	3	3
2930	2	2	2	6
2932	1	1	10	10
2933	5	6	10	10
2938	4	2	2	3
2942	2	1	1	1
2944	1	6	10	10
2945	3	6	6	10
2948	1	10	10	10
2949	1	1	1	10
2950	2	1	1	10
2952	2	9	10	10
2954	2	1	1	2
2956	3	1	1	10
2959	4	1	1	10
2963	5	3	2	10
2968	1	1	1	10
2969	3	1	1	3
2972	1	10	10	10
2973	3	9	5	10
2976	1	2	6	4
2977	1	1	1	1
2978	2	1	1	10
2980	1	1	10	2
2981	6	10	10	10
2987	1	1	1	1
2988	2	1	1	10
2990	5	8	8	10
2995	4	3	10	10
2999	2	1	1	1
3001	1	1	1	1
3002	1	1	3	3
3003	1	1	3	1
3004	4	1	1	10
3008	2	1	1	1
3010	1	2	4	10
3011	2	2	5	4
3013	2	1	2	1
3015	1	1	2	10
3016	5	1	1	10
3021	1	4	7	4
3022	3	4	5	10
3025	3	3	3	10
3028	3	4	4	10
3031	1	2	2	10
3032	4	3	10	10
3036	4	3	3	1
3040	1	3	10	1
3041	2	4	4	10
3043	3	4	4	4
3046	2	2	4	9
3048	1	1	5	10
3049	1	3	3	10
3050	1	2	2	1
3051	2	3	10	10
3053	1	6	6	10
3054	1	1	2	1
3055	3	6	8	1
3058	1	10	10	10
3059	3	2	1	10
3062	2	10	10	10
3064	2	7	10	10
3066	1	1	5	9
3067	3	1	4	2
3070	2	10	10	10
3072	5	6	10	10
3077	5	2	3	4
3082	4	1	2	1
3086	1	3	10	10
3087	2	1	1	4
3089	5	10	10	10
3094	3	4	2	10
3097	2	2	3	3
3099	1	1	3	3
3100	1	10	10	10
3101	1	2	1	10
3102	2	1	2	4
3104	4	10	6	10
3108	4	3	3	10
3112	4	3	10	6
3116	1	2	6	1
3117	8	6	6	10
3125	3	10	10	10
3128	4	1	4	10
3132	2	10	10	10
3134	5	1	1	10
3139	1	4	6	10
3140	7	3	2	10
3147	7	6	6	10
3154	4	10	10	10
3158	1	1	1	2
3159	6	2	1	10
3165	2	1	2	1
3167	4	1	4	1
3171	2	2	3	10
3173	2	1	1	9
3175	4	2	2	10
3179	1	1	3	1
3180	3	3	3	10
3183	3	3	3	10
3186	1	6	10	10
3187	1	1	1	1
3188	1	1	1	1
3189	2	4	10	10
3191	2	1	3	10
3193	1	1	3	6
3194	4	3	3	5
3198	2	1	1	1
3200	2	2	4	1
3202	2	3	9	5
3204	2	5	5	10
3206	1	10	10	10
3207	2	2	6	1
3209	1	1	1	1
3210	4	3	9	10
3214	2	3	10	10
3216	1	2	3	3
3217	2	1	2	10
3219	1	1	1	3
3220	2	2	3	10
3222	1	3	10	10
3223	7	2	2	1
3230	1	4	4	9
3231	1	2	1	2
3232	2	1	1	1
3234	1	1	3	3
3235	3	10	10	10
3238	2	2	6	6
3240	3	3	1	10
3243	1	3	3	5
3244	8	1	1	4
3252	4	1	1	10
3256	1	1	2	1
3257	4	1	8	1
3261	2	1	1	10
3263	1	1	1	5
3264	3	4	4	6
3267	1	7	7	9
3268	3	1	3	10
3271	2	1	2	2
3273	3	3	4	4
3276	3	3	1	10
3279	1	1	1	1
3280	2	2	2	10
3282	3	1	1	10
3285	3	7	10	9
3288	2	1	1	10
3290	1	3	4	6
3291	1	8	10	10
3292	1	3	3	4
3293	1	1	1	2
3294	1	3	5	2
3295	1	2	2	2
3296	3	1	1	10
3299	2	1	1	6
3301	1	7	10	10
3302	2	4	5	10
3304	3	3	6	1
3307	2	1	1	1
3309	4	1	6	10
3313	1	1	1	1
3314	1	1	3	10
3315	2	1	1	5
3317	1	3	4	3
3318	1	1	4	1
3319	7	10	10	10
3326	5	10	10	10
3331	3	2	3	10
3334	7	8	10	10
3341	1	2	3	3
3342	4	10	10	10
3346	5	4	3	10
3351	2	1	1	3
3353	4	1	3	10
3357	2	5	1	10
3359	1	3	1	1
3360	3	10	10	10
3363	1	2	10	8
3364	2	1	1	3
3366	5	3	1	10
3371	1	2	2	1
3372	1	1	3	2
3373	1	0	0	2
3374	2	1	1	10
3376	2	1	3	1
3378	5	8	9	3
3383	3	6	10	10
3386	1	3	10	10
3387	1	1	2	3
3388	1	1	3	10
3389	2	1	1	10
3391	1	2	2	4
3392	1	10	10	10
3393	6	1	1	10
3399	1	4	4	10
3400	2	10	6	10
3402	1	1	1	1
3403	1	1	1	1
3404	9	1	1	10
3413	1	3	1	3
3414	2	3	6	4
3416	2	6	1	10
3418	1	2	4	10
3419	1	1	10	10
3420	2	1	3	1
3422	5	1	1	10
3427	1	2	3	5
3428	2	1	2	10
3430	2	2	2	10
3432	3	10	10	10
3435	1	2	2	10
3436	1	2	2	1
3437	1	6	10	10
3438	1	2	2	2
3439	4	2	2	1
3443	3	2	2	3
3446	1	5	5	10
3447	5	10	1	10
3452	2	2	2	10
3454	1	3	3	1
3455	6	1	10	10
3461	2	10	10	10
3463	1	0	0	10
3464	2	1	1	3
3466	1	3	3	10
3467	3	3	4	6
3470	1	2	3	3
3471	4	3	3	10
3475	3	4	10	10
3478	1	2	6	10
3479	4	1	3	10
3483	3	1	2	3
3486	1	3	3	1
3487	1	1	1	4
3488	1	1	2	1
3489	2	1	1	9
3491	2	2	3	10
3493	1	1	3	1
3494	1	1	1	2
3495	2	1	1	1
3497	3	1	1	7
3500	3	1	1	9
3503	4	1	3	10
3507	2	6	7	3
3509	6	2	2	10
3515	1	3	8	2
3516	3	1	3	6
3519	2	1	1	1
3521	3	1	1	10
3524	1	6	9	3
3525	2	10	10	10
3527	4	1	2	10
3531	4	5	10	10
3535	4	3	9	10
3539	1	10	10	3
3540	3	1	1	10
3543	4	3	10	10
3547	2	1	1	10
3549	1	4	6	9
3550	1	2	1	10
3551	4	3	3	10
3555	1	1	1	1
3556	2	1	1	10
3558	4	2	4	10
3562	5	8	8	10
3567	3	1	1	3
3570	3	2	10	10
3573	1	1	1	2
3574	2	10	10	10
3576	1	1	1	10
3577	1	2	2	6
3578	6	3	10	7
3584	1	2	4	8
3585	2	1	2	2
3587	4	10	10	10
3591	2	1	1	9
3593	2	1	2	2
3595	4	1	1	10
3599	1	7	9	10
3600	4	4	4	3
3604	2	1	3	10
3606	2	1	1	6
3608	1	2	10	6
3609	1	2	4	3
3610	2	3	6	3
3612	1	1	3	10
3613	1	4	4	2
3614	1	3	3	10
3615	1	3	5	1
3616	2	2	10	2
3618	2	1	1	4
3620	1	1	1	10
3621	1	2	2	4
3622	4	1	1	10
3626	2	1	1	1
3628	4	1	10	10
3632	1	4	4	10
3633	3	2	2	1
3636	5	10	10	10
3641	3	5	10	6
3644	2	6	4	3
3646	4	2	2	10
3650	3	2	2	10
3653	4	1	4	10
3657	3	1	2	1
3660	3	1	1	9
3663	1	1	2	1
3664	4	4	2	9
3668	1	10	10	2
3669	2	1	1	4
3671	2	3	3	10
3673	1	2	2	3
3674	1	1	1	1
3675	1	2	2	10
3676	3	1	10	5
3679	4	1	1	10
3683	3	3	3	7
3686	1	2	4	10
3687	1	10	10	10
3688	2	4	10	10
3690	2	1	10	10
3692	2	1	2	10
3694	2	1	2	1
3696	3	10	10	10
3699	1	6	6	10
3700	2	4	4	1
3702	3	6	5	10
3705	3	2	6	10
3708	4	8	7	10
3712	1	2	2	10
3713	1	1	1	10
3714	1	7	9	10
3715	3	7	7	10
3718	2	7	10	10
3720	1	3	4	10
3721	3	2	2	10
3724	2	2	2	1
3726	3	3	6	1
3729	3	1	10	10
3732	3	1	3	9
3735	9	2	1	10
3744	1	4	8	1
3745	4	10	10	10
3749	5	1	1	3
3754	2	2	10	8
3756	2	1	2	10
3758	5	1	10	10
3763	1	2	3	9
3764	2	2	7	10
3766	1	4	10	10
3767	2	2	2	10
3769	2	3	6	4
3771	3	8	8	10
3774	2	4	9	10
3776	1	1	1	1
3777	1	2	4	10
3778	1	2	6	10
3779	5	2	4	10
3784	2	3	4	10
3786	2	1	2	10
3788	4	6	3	10
3792	2	9	2	10
3794	2	2	5	2
3796	4	4	10	10
3800	3	1	1	2
3803	3	10	10	10
3806	3	1	1	1
3809	3	1	1	4
3812	1	4	2	10
3813	1	1	1	7
3814	7	6	3	10
3821	2	2	3	7
3823	2	2	2	10
3825	6	4	2	10
3831	4	2	4	10
3835	2	4	10	10
3837	2	2	10	10
3839	2	1	1	10
3841	4	2	10	10
3845	4	4	1	9
3849	5	2	2	10
3854	1	1	10	10
3855	1	1	2	1
3856	2	1	1	2
3858	1	1	4	4
3859	2	2	6	10
3861	2	1	1	2
3863	6	2	2	2
3869	2	3	4	4
3871	1	0	0	3
3872	2	1	1	10
3874	2	1	1	10
3876	4	1	2	2
3880	3	2	1	10
3883	2	1	1	1
3885	2	2	4	1
3887	1	1	4	9
3888	1	1	2	2
3889	2	1	1	3
3891	1	1	1	3
3892	2	1	1	10
3894	3	10	10	10
3897	3	3	3	10
3900	2	1	2	10
3902	1	4	4	3
3903	3	1	1	10
3906	1	1	3	6
3907	2	1	1	4
3909	2	2	2	10
3911	2	1	3	6
3913	4	3	10	10
3917	2	10	10	10
3919	1	2	7	10
3920	1	1	1	1
3921	3	2	2	10
3924	1	2	7	10
3925	2	1	3	3
3927	4	10	10	10
3931	1	1	3	2
3932	1	2	9	10
3933	1	3	3	10
3934	1	1	4	10
3935	1	2	1	2
3936	2	1	3	10
3938	4	3	3	10
3942	1	10	9	10
3943	2	1	1	10
3945	3	1	1	10
3948	4	10	10	10
3952	1	2	6	10
3953	1	3	10	10
3954	2	4	4	1
3956	1	3	6	10
3957	3	1	1	10
3960	3	2	3	10
3963	1	2	2	1
3964	3	2	2	8
3967	3	7	7	3
3970	1	1	3	3
3971	2	6	1	1
3973	1	2	3	3
3974	2	4	8	9
3976	1	2	4	4
3977	1	2	3	5
3978	1	2	4	10
3979	3	6	6	10
3982	3	3	2	10
3985	1	1	1	1
3986	1	4	10	10
3987	1	2	3	3
3988	5	10	10	10
3993	3	1	1	10
3996	1	10	10	10
3997	3	8	1	10
4000	2	10	10	1
4002	2	4	8	10
4004	1	2	3	6
4005	3	1	1	10
4008	2	2	2	10
4010	1	1	1	1
4011	1	1	1	1
4012	1	1	1	1
4013	3	10	10	10
4016	2	1	7	6
4018	1	2	3	3
4019	2	1	10	10
4021	2	1	1	1
4023	4	2	2	10
4027	2	1	1	3
4029	1	3	3	4
4030	2	1	1	1
4032	4	9	10	10
4036	1	5	6	10
4037	5	2	2	10
4042	1	3	3	1
4043	1	8	10	10
4044	2	2	6	3
4046	3	1	7	10
4049	1	6	6	10
4050	2	2	3	3
4052	4	2	2	1
4056	1	1	1	1
4057	1	1	1	3
4058	1	2	4	10
4059	1	1	1	1
4060	2	1	1	10
4062	5	1	2	10
4067	1	1	1	7
4068	4	1	3	1
4072	1	1	3	4
4073	2	1	1	1
4075	5	1	4	10
4080	5	6	6	10
4085	3	10	10	10
4088	1	2	8	4
4089	5	1	1	10
4094	3	1	1	10
4097	2	1	1	1
4099	1	1	1	4
4100	1	4	4	10
4101	6	10	4	3
4107	3	6	6	3
4110	1	1	1	4
4111	1	2	10	10
4112	2	1	1	10
4114	1	1	1	1
4115	1	0	0	10
4116	1	1	1	7
4117	1	1	3	3
4118	3	10	10	6
4121	1	1	2	3
4122	3	1	3	1
4125	2	1	2	10
4127	1	1	2	1
4128	1	1	3	1
4129	3	3	3	10
4132	7	2	10	10
4139	6	3	3	10
4145	1	8	8	6
4146	6	5	10	10
4152	1	3	3	10
4153	2	2	4	10
4155	1	1	3	3
4156	1	1	3	1
4157	1	1	3	1
4158	1	3	5	4
4159	2	10	10	10
4161	1	3	10	10
4162	4	3	6	6
4166	1	1	3	4
4167	1	1	1	2
4168	2	3	9	3
4170	3	3	10	9
4173	2	2	5	5
4175	1	1	1	1
4176	2	2	2	1
4178	1	1	1	2
4179	2	6	6	10
4181	5	2	6	8
4186	8	3	10	10
4194	3	6	2	1
4197	1	3	3	7
4198	6	10	10	10
4204	1	1	3	10
4205	2	1	1	9
4207	6	1	1	10
4213	5	4	10	10
4218	1	3	10	10
4219	2	6	1	10
4221	3	10	10	10
4224	2	1	1	8
4226	1	1	3	4
4227	2	1	1	1
4229	4	1	1	1
4233	1	1	1	1
4234	3	2	4	4
4237	3	9	1	10
4240	1	1	1	3
4241	3	1	1	4
4244	5	1	1	10
4249	1	2	4	10
4250	3	1	1	3
4253	3	1	3	3
4256	3	2	9	10
4259	2	1	1	1
4261	3	2	4	10
4264	2	10	2	10
4266	1	2	10	10
4267	3	3	6	10
4270	3	1	2	1
4273	1	2	2	1
4274	2	1	2	10
4276	3	1	1	1
4279	1	2	3	3
4280	2	2	4	6
4282	1	6	10	10
4283	1	6	6	10
4284	1	2	2	10
4285	1	1	1	1
4286	1	4	10	10
4287	4	1	1	10
4291	3	2	2	3
4294	2	1	5	10
4296	6	6	10	10
4302	1	2	1	7
4303	1	1	2	1
4304	5	1	2	1
4309	4	3	3	1
4313	1	1	1	1
4314	2	2	2	8
4316	3	1	5	10
4319	3	1	2	1
4322	2	1	2	10
4324	3	2	3	10
4327	4	1	3	10
4331	1	2	4	6
4332	2	1	1	1
4334	1	10	10	10
4335	2	2	2	1
4337	1	1	1	2
4338	1	1	4	10
4339	1	9	1	4
4340	1	4	5	4
4341	4	10	10	10
4345	4	3	3	6
4349	2	7	1	9
4351	4	1	4	10
4355	1	1	3	2
4356	1	3	3	2
4357	2	2	2	10
4359	1	1	1	7
4360	2	10	3	10
4362	2	1	1	8
4364	1	2	2	1
4365	1	2	2	1
4366	4	2	7	10
4370	2	1	2	1
4372	2	1	1	6
4374	2	1	4	10
4376	3	1	1	10
4379	1	6	4	10
4380	2	2	2	10
4382	3	1	4	2
4385	6	2	6	3
4391	1	2	2	10
4392	3	10	10	6
4395	2	2	2	10
4397	1	1	1	7
4398	2	1	3	10
4400	2	4	8	3
4402	3	4	4	10
4405	1	10	10	10
4406	1	1	1	8
4407	1	4	10	10
4408	5	10	3	3
4413	3	1	2	5
4416	2	10	10	10
4418	4	10	10	10
4422	1	2	2	10
4423	2	8	10	10
4425	2	1	1	2
4427	2	1	3	8
4429	4	10	9	10
4433	1	2	2	10
4434	4	3	4	3
4438	2	1	3	10
4440	3	3	6	3
4443	2	2	3	2
4445	1	1	10	10
4446	6	1	3	10
4452	2	3	1	1
4454	2	6	2	10
4456	3	1	1	4
4459	5	2	2	1
4464	3	10	10	10
4467	2	1	1	10
4469	7	10	10	10
4476	2	1	1	10
4478	1	1	10	6
4479	2	1	1	1
4481	1	2	10	10
4482	2	1	1	2
4484	2	1	2	1
4486	1	1	1	1
4487	2	2	3	1
4489	2	1	1	2
4491	4	1	5	8
4495	2	1	2	2
4497	1	1	6	7
4498	1	2	4	3
4499	2	4	3	10
4501	1	1	4	4
4502	3	6	7	5
4505	2	1	4	9
4507	2	1	1	1
4509	2	2	3	10
4511	1	1	5	10
4512	2	10	10	10
4514	5	1	2	1
4519	1	3	8	10
4520	2	1	2	10
4522	4	2	2	10
4526	1	9	10	4
4527	3	4	7	6
4530	5	3	3	7
4535	1	2	2	10
4536	1	1	3	10
4537	1	1	3	4
4538	5	1	1	10
4543	4	1	1	2
4547	1	4	2	6
4548	5	2	2	9
4553	1	10	10	6
4554	3	2	2	2
4557	4	1	1	10
4561	2	10	10	10
4563	1	4	8	10
4564	2	1	2	1
4566	2	2	3	4
4568	1	4	1	10
4569	1	2	3	3
4570	1	3	3	1
4571	1	3	9	9
4572	8	10	10	10
4580	2	6	6	4
4582	1	1	6	5
4583	6	10	1	10
4589	5	4	2	1
4594	6	10	1	10
4600	4	5	10	6
4604	1	1	1	1
4605	3	10	10	10
4608	3	3	8	3
4611	1	1	4	10
4612	1	2	3	4
4613	4	2	2	10
4617	1	1	1	4
4618	1	1	1	6
4619	4	2	2	6
4623	3	1	2	8
4626	1	1	2	10
4627	2	1	1	10
4629	1	1	1	8
4630	2	1	2	1
4632	4	3	10	10
4636	2	1	1	9
4638	3	3	8	10
4641	4	4	10	10
4645	1	0	0	1
4646	2	1	6	10
4648	3	2	2	10
4651	2	1	2	1
4653	2	1	8	10
4655	3	1	7	10
4658	1	4	8	7
4659	2	2	9	10
4661	1	10	10	4
4662	4	10	10	10
4666	2	9	5	10
4668	1	2	2	3
4669	2	1	2	2
4671	4	6	10	6
4675	5	4	4	6
4680	2	10	10	10
4682	1	1	1	1
4683	1	3	6	10
4684	2	2	2	1
4686	4	6	6	10
4690	2	1	1	10
4692	2	2	2	9
4694	1	2	2	1
4695	2	2	2	6
4697	4	3	10	10
4701	2	1	1	2
4703	2	1	1	1
4705	3	1	1	10
4708	2	1	2	1
4710	2	3	3	3
4712	2	1	6	10
4714	4	1	1	10
4718	2	2	3	6
4720	4	2	1	4
4724	2	10	10	10
4726	6	5	3	10
4732	3	7	9	10
4735	5	9	10	9
4740	1	10	10	10
4741	1	6	10	10
4742	4	4	10	6
4746	1	1	2	3
4747	3	1	1	4
4750	1	2	4	1
4751	1	4	8	3
4752	7	1	4	9
4759	5	4	10	10
4764	1	1	10	10
4765	3	1	2	1
4768	3	1	1	2
4771	3	10	9	10
4774	6	1	10	10
4780	7	1	2	10
4787	7	2	10	10
4794	2	1	2	3
4796	2	10	10	1
4798	2	2	6	10
4800	2	1	3	10
4802	1	2	10	10
4803	1	3	3	3
4804	2	1	1	4
4806	2	1	1	10
4808	4	5	10	10
4812	1	1	1	3
4813	5	10	10	10
4818	1	5	4	10
4819	4	10	10	10
4823	1	2	8	10
4824	1	1	10	10
4825	2	1	1	2
4827	4	4	6	10
4831	6	2	2	10
4837	2	3	10	10
4839	2	3	10	10
4841	4	1	5	10
4845	2	1	1	3
4847	4	8	2	10
4851	3	3	4	10
4854	2	10	5	9
4856	1	1	3	1
4857	6	3	3	9
4863	4	1	2	2
4867	2	1	3	10
4869	1	1	2	1
4870	3	5	3	10
4873	1	1	2	2
4874	3	4	4	1
4877	2	1	1	1
4879	1	0	0	4
4880	6	4	6	3
4886	2	3	6	3
4888	3	2	2	1
4891	2	10	10	1
4893	1	2	2	10
4894	2	1	1	10
4896	2	1	2	1
4898	1	1	2	1
4899	2	3	10	10
4901	1	1	1	4
4902	2	2	4	1
4904	1	1	1	2
4905	3	1	2	1
4908	1	1	1	4
4909	2	2	6	10
4911	6	2	10	10
4917	3	3	1	2
4920	7	1	10	10
4927	3	1	1	10
4930	2	10	10	9
4932	2	2	7	3
4934	1	3	3	9
4935	3	6	6	1
4938	2	1	1	10
4940	5	1	1	10
4945	2	1	1	10
4947	1	3	10	10
4948	1	2	4	10
4949	3	10	10	10
4952	3	10	10	10
4955	1	0	0	8
4956	1	4	10	10
4957	3	1	4	10
4960	1	2	2	10
4961	6	1	4	2
4967	7	7	8	5
4974	2	1	2	2
4976	3	10	2	10
4979	4	1	1	1
4983	3	10	10	10
4986	1	1	1	2
4987	5	1	4	10
4992	2	1	1	10
4994	3	1	1	6
4997	2	1	1	1
4999	7	10	6	10
5006	2	1	6	10
5008	4	1	1	10
5012	4	2	2	10
5016	5	3	3	10
5021	2	2	1	1
5023	3	3	3	7
5026	1	10	10	10
5027	1	2	7	10
5028	1	1	1	1
5029	1	2	4	1
5030	1	3	6	6
5031	4	7	3	10
5035	4	10	10	10
5039	1	1	7	10
5040	5	1	10	10
5045	2	1	3	3
5047	1	1	1	4
5048	1	1	2	10
5049	1	1	1	1
5050	2	1	10	10
5052	1	1	3	3
5053	3	7	6	10
5056	2	1	1	3
5058	1	4	5	10
5059	2	3	4	10
5061	1	3	6	10
5062	1	10	10	10
5063	2	3	3	3
5065	3	1	4	4
5068	1	1	1	1
5069	2	1	10	10
5071	1	1	1	1
5072	2	2	1	10
5074	1	1	1	4
5075	1	4	10	10
5076	1	3	3	10
5077	6	3	1	10
5083	3	8	10	10
5086	2	1	1	10
5088	1	1	4	10
5089	2	2	1	2
5091	2	2	1	2
5093	2	1	6	5
5095	5	1	1	10
5100	2	1	3	10
5102	2	1	4	6
5104	5	3	7	5
5109	1	1	1	1
5110	5	10	10	9
5115	1	3	3	7
5116	1	2	3	3
5117	2	7	10	9
5119	1	2	2	10
5120	2	2	2	2
5122	3	8	3	10
5125	3	2	2	5
5128	1	1	2	3
5129	2	1	2	10
5131	1	3	3	3
5132	1	1	1	1
5133	5	10	10	10
5138	1	3	6	4
5139	2	1	1	10
5141	3	2	2	2
5144	3	1	1	1
5147	2	9	9	10
5149	1	1	1	1
5150	1	8	10	5
5151	1	1	1	1
5152	2	1	1	6
5154	2	1	3	3
5156	2	3	4	10
5158	1	1	1	1
5159	1	8	8	2
5160	2	1	1	8
5162	2	1	1	10
5164	2	3	5	10
5166	1	1	1	3
5167	2	2	2	3
5169	1	1	1	10
5170	1	1	1	1
5171	1	6	10	2
5172	2	1	1	7
5174	2	1	3	1
5176	1	3	6	10
5177	2	3	6	6
5179	2	1	1	5
5181	2	3	3	2
5183	2	2	10	10
5185	1	4	4	10
5186	1	1	1	1
5187	1	1	1	2
5188	2	1	1	7
5190	2	1	2	6
5192	1	1	6	2
5193	4	2	2	4
5197	1	1	1	2
5198	1	1	1	1
5199	2	1	2	4
5201	1	0	0	1
5202	2	2	2	10
5204	3	2	2	10
5207	2	1	1	1
5209	3	2	3	4
5212	4	3	4	4
5216	1	1	3	1
5217	1	1	1	10
5218	1	9	1	10
5219	2	1	10	10
5221	1	1	1	4
5222	2	1	2	5
5224	3	10	10	10
5227	2	4	10	10
5229	2	1	1	3
5231	1	4	8	10
5232	2	3	6	10
5234	2	1	3	3
5236	2	3	10	10
5238	3	1	1	10
5241	1	1	1	10
5242	1	3	5	10
5243	1	1	1	1
5244	1	1	1	2
5245	4	4	2	10
5249	4	2	3	9
5253	3	6	9	7
5256	2	3	4	4
5258	1	1	3	1
5259	3	1	1	1
5262	1	1	10	9
5263	1	1	1	10
5264	2	1	1	1
5266	1	1	1	10
5267	2	6	2	10
